OrderID,Date,Product,Category,Quantity,Price,Total
1,2024-04-01,Laptop,Electronics,1,1200,1200
2,2024-04-01,Keyboard,Electronics,2,75,150
3,2024-04-02,T-Shirt,Apparel,5,25,125
4,2024-04-02,Mouse,Electronics,1,30,30
5,2024-04-03,Jeans,Apparel,2,60,120
6,2024-04-03,Headphones,Electronics,1,150,150
7,2024-04-04,Book,Books,3,15,45
8,2024-04-04,Laptop,Electronics,1,1250,1250
9,2024-04-05,Socks,Apparel,10,5,50
10,2024-04-05,Notebook,Books,4,3,12
11,2024-04-06,Coffee Maker,Appliances,1,80,80
12,2024-04-06,Sneakers,Apparel,1,85,85
13,2024-04-07,Desk,Furniture,1,200,200
14,2024-04-07,Tablet,Electronics,1,300,300
15,2024-04-08,Blouse,Apparel,3,40,120
16,2024-04-08,Toaster,Appliances,1,45,45
17,2024-04-09,Chair,Furniture,2,100,200
18,2024-04-09,Smartwatch,Electronics,1,250,250
19,2024-04-10,Sweater,Apparel,2,50,100
20,2024-04-10,Microwave,Appliances,1,120,120
21,2024-04-11,Bed Frame,Furniture,1,350,350
22,2024-04-11,TV,Electronics,1,800,800
23,2024-04-12,Dress,Apparel,1,75,75
24,2024-04-12,Vacuum Cleaner,Appliances,1,90,90
25,2024-04-13,Couch,Furniture,1,500,500
26,2024-04-13,Gaming Console,Electronics,1,400,400
27,2024-04-14,Skirt,Apparel,2,35,70
28,2024-04-14,Blender,Appliances,1,60,60
29,2024-04-15,Dining Table,Furniture,1,400,400
30,2024-04-15,Monitor,Electronics,1,200,200
31,2024-04-16,Jacket,Apparel,1,90,90
32,2024-04-16,Washing Machine,Appliances,1,500,500
33,2024-04-17,Bookshelf,Furniture,1,150,150
34,2024-04-17,Printer,Electronics,1,100,100
35,2024-04-18,Shorts,Apparel,3,30,90
36,2024-04-18,Refrigerator,Appliances,1,700,700
37,2024-04-19,Coffee Table,Furniture,1,180,180
38,2024-04-19,Digital Camera,Electronics,1,500,500
39,2024-04-20,Gloves,Apparel,2,20,40
40,2024-04-20,Dishwasher,Appliances,1,600,600
41,2024-04-21,Wardrobe,Furniture,1,450,450
42,2024-04-21,Projector,Electronics,1,600,600
43,2024-04-22,Scarf,Apparel,4,15,60
44,2024-04-22,Oven,Appliances,1,550,550
45,2024-04-23,Dresser,Furniture,1,300,300
46,2024-04-23,Smart Speaker,Electronics,2,80,160
47,2024-04-24,Belt,Apparel,1,30,30
48,2024-04-24,Stove,Appliances,1,400,400
49,2024-04-25,Nightstand,Furniture,2,80,160
50,2024-04-25,VR Headset,Electronics,1,350,350
51,2024-04-26,Hat,Apparel,3,20,60
52,2024-04-26,Food Processor,Appliances,1,70,70
53,2024-04-27,Mirror,Furniture,1,120,120
54,2024-04-27,Wireless Router,Electronics,1,60,60
55,2024-04-28,Slippers,Apparel,2,15,30
56,2024-04-28,Kettle,Appliances,1,35,35
57,2024-04-29,Bench,Furniture,1,90,90
58,2024-04-29,External Hard Drive,Electronics,1,70,70
59,2024-04-30,Tie,Apparel,1,25,25
60,2024-04-30,Hand Mixer,Appliances,1,30,30
61,2024-05-01,Area Rug,Furniture,1,220,220
62,2024-05-01,Portable Speaker,Electronics,1,40,40
63,2024-05-02,Leggings,Apparel,4,28,112
64,2024-05-02,Air Fryer,Appliances,1,95,95
65,2024-05-03,Side Table,Furniture,2,70,140
66,2024-05-03,Smart Bulb,Electronics,5,18,90
67,2024-05-04,Tank Top,Apparel,6,15,90
68,2024-05-04,Electric Kettle,Appliances,1,40,40
69,2024-05-05,TV Stand,Furniture,1,190,190
70,2024-05-05,Fitness Tracker,Electronics,1,75,75
71,2024-05-06,Cardigan,Apparel,2,45,90
72,2024-05-06,Rice Cooker,Appliances,1,55,55
73,2024-05-07,Vanity,Furniture,1,280,280
74,2024-05-07,USB Drive,Electronics,3,12,36
75,2024-05-08,Polo Shirt,Apparel,3,32,96
76,2024-05-08,Slow Cooker,Appliances,1,65,65
77,2024-05-09,Ottoman,Furniture,1,110,110
78,2024-05-09,Webcam,Electronics,1,50,50
79,2024-05-10,Yoga Pants,Apparel,4,27,108
80,2024-05-10,Espresso Machine,Appliances,1,150,150
81,2024-05-11,Console Table,Furniture,1,230,230
82,2024-05-11,Bluetooth Speaker,Electronics,2,35,70
83,2024-05-12,Hoodie,Apparel,2,40,80
84,2024-05-12,Deep Fryer,Appliances,1,72,72
85,2024-05-13,Rocking Chair,Furniture,1,160,160
86,2024-05-13,SD Card,Electronics,4,10,40
87,2024-05-14,Trench Coat,Apparel,1,110,110
88,2024-05-14,Electric Grill,Appliances,1,88,88
89,2024-05-15,Corner Desk,Furniture,1,250,250
90,2024-05-15,Wireless Mouse,Electronics,2,22,44
91,2024-05-16,Sweatpants,Apparel,3,30,90
92,2024-05-16,Popcorn Maker,Appliances,1,48,48
93,2024-05-17,Bar Stools,Furniture,2,95,190
94,2024-05-17,Keyboard,Electronics,1,75,75
95,2024-05-18,Beanie,Apparel,5,12,60
96,2024-05-18,Waffle Maker,Appliances,1,52,52
97,2024-05-19,Duvet Cover,Furniture,1,85,85
98,2024-05-19,Charger,Electronics,3,15,45
99,2024-05-20,Pencil Skirt,Apparel,2,38,76
100,2024-05-20,Can Opener,Appliances,1,25,25